ASSESSMENT,RECORD_ID,STREAM_LAK,STREAM_NAM,LAKE_NAME,BEACH_NAME,LLID_STREA,LLID_STR_1,LLID_LAKE,EPA_BEACH_,SEGMENT_ID,HUC_4TH_CO,HUC_4TH_NA,HUC_3RD_NA,MILES,RM1,RM2,SEGMENT_MI,POLLUTANT,POLLUTANT_,SEASON,SEASON_ID,ASSESSME_1,ASSESSME_2,ACTION,ACTION_ID,NUMERIC_CR,AFFECTED_U,LISTING_ST,STATUS_ID,PREVIOUS_S,PREVIOUS_A,LISTING_YE,TMDL_INFO,CRITERIA,Shape_Leng,PlanName
"26,337.00","17,051.00",Mill Creek,Mill Creek, , ,"1,230,393,449,520.00","1,230,393,449,520.00",0, ,"1,782.00",17090007,Middle Willamette,Willamette,0 to 25.7,0,25.7,25.7,E. Coli,2,FallWinterSpring,2,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"134,492.77",Molalla-Pudding French Prairie North Santiam
"29,296.00","7,347.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,Iron,"2,255.00",Year Round,3,"2,012.00",6/25/2013 0:00,No status change,13,24,Aquatic life,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Table 20 Toxic Substances,"40,078.46",Molalla-Pudding French Prairie North Santiam
"29,347.00","21,942.00",Croisan Creek,Croisan Creek, , ,"1,230,550,449,260.00","1,230,550,449,260.00",0, ,"1,799.00",17090007,Middle Willamette,Willamette,0 to 6.5,0,6.5,6.5,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,7, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,"33,859.52",Molalla-Pudding French Prairie North Santiam
"29,415.00","24,528.00",South Fork Pudding River,South Fork Pudding River, , ,"1,228,100,449,100.00","1,228,100,449,100.00",0, ,"31,563.00",17090009,Molalla-Pudding,Willamette,0 to 6,0,6,6,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"31,655.41",Molalla-Pudding French Prairie North Santiam
"28,186.00","23,737.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"9,234.00",17090009,Molalla-Pudding,Willamette,0 to 61.8,0,61.8,61.8,Biological Criteria,4,Year Round,3,"2,010.00",1/29/2013 0:00,No action,21,3,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.,"315,654.18",Molalla-Pudding French Prairie North Santiam
"26,246.00","13,419.00",Little North Santiam River,Little North Santiam River, , ,"1,226,091,447,850.00","1,226,091,447,850.00",0, ,"9,142.00",17090005,North Santiam,Willamette,0 to 13.9,0,13.9,13.9,Temperature,12,September 1 - June 15,49,"2,010.00",10/29/2010 0:00,No action,21,31,Salmon and steelhead spawning,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum,"72,940.81",Molalla-Pudding French Prairie North Santiam
"29,464.00","24,529.00",South Fork Pudding River,South Fork Pudding River, , ,"1,228,100,449,100.00","1,228,100,449,100.00",0, ,"31,563.00",17090009,Molalla-Pudding,Willamette,0 to 6,0,6,6,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,7, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,"31,655.41",Molalla-Pudding French Prairie North Santiam
"29,329.00","21,932.00",Claggett Creek,Claggett Creek, , ,"1,230,310,450,290.00","1,230,310,450,290.00",0, ,"2,852.00",17090007,Middle Willamette,Willamette,0 to 5.2,0,5.2,5.2,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"27,446.47",Molalla-Pudding French Prairie North Santiam
"29,309.00","7,665.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"1,554.00",17090009,Molalla-Pudding,Willamette,0 to 35.4,0,35.4,35.4,Lead,"2,257.00",Year Round,3,"2,012.00",6/25/2013 0:00,Status modification - Added to 303(d) list,10,24,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,Previous Status: Attaining,Previous Action: Added to database,Previous Assessment Year: 1998, ,Table 20 Toxic Substances,"181,266.22",Molalla-Pudding French Prairie North Santiam
"26,082.00","13,031.00",Marion Creek,Marion Creek, , ,"1,229,580,447,200.00","1,229,580,447,200.00",0, ,"2,928.00",17090005,North Santiam,Willamette,0 to 6.2,0,6.2,6.2,Temperature,12,Year Round (Non-spawning),71,"2,010.00",10/29/2010 0:00,No action,21,33,Core cold water habitat,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum,"32,271.14",Molalla-Pudding French Prairie North Santiam
"28,194.00","23,408.00",Mill Creek,Mill Creek, , ,"1,227,520,452,420.00","1,227,520,452,420.00",0, ,"1,575.00",17090009,Molalla-Pudding,Willamette,0 to 12.5,0,12.5,12.5,Biological Criteria,4,Year Round,3,"2,010.00",1/29/2013 0:00,No action,21,3,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.,"63,643.57",Molalla-Pudding French Prairie North Santiam
"29,451.00","24,519.00",Butte Creek,Butte Creek, , ,"1,227,735,451,610.00","1,227,735,451,610.00",0, ,"31,556.00",17090009,Molalla-Pudding,Willamette,0 to 6.8,0,6.8,6.8,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"32,820.57",Molalla-Pudding French Prairie North Santiam
"26,338.00","17,052.00",Mill Creek,Mill Creek, , ,"1,230,393,449,520.00","1,230,393,449,520.00",0, ,"1,782.00",17090007,Middle Willamette,Willamette,0 to 25.7,0,25.7,25.7,E. Coli,2,Summer,1,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"134,492.77",Molalla-Pudding French Prairie North Santiam
"30,728.00","8,603.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,"DDT 4,4","2,189.00",Year Round,3,"2,012.00",9/5/2013 0:00,No status change,13,46,Human health; Aquatic life,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: New Cat 4A: Water quality limited, TMDL approved",Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Table 20 Toxic Substances,"40,078.46",Molalla-Pudding French Prairie North Santiam
"25,873.00","6,797.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"1,554.00",17090009,Molalla-Pudding,Willamette,0 to 35.4,0,35.4,35.4,"DDT 4,4","2,189.00",Year Round,3,"2,010.00",10/29/2010 0:00,No action,21,24,Drinking water; Resident fish and aquatic life; Anadromous fish passage,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Table 20 Toxic Substances,"181,266.22",Molalla-Pudding French Prairie North Santiam
"26,265.00","13,451.00",Marion Creek,Marion Creek, , ,"1,229,580,447,200.00","1,229,580,447,200.00",0, ,"9,537.00",17090005,North Santiam,Willamette,0 to 1.5,0,1.5,1.5,Temperature,12,September 1 - June 15,49,"2,010.00",10/29/2010 0:00,No action,21,31,Salmon and steelhead spawning,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum,"7,741.15",Molalla-Pudding French Prairie North Santiam
"29,377.00","24,505.00",Little Abiqua Creek,Little Abiqua Creek, , ,"1,226,280,449,570.00","1,226,280,449,570.00",0, ,"31,551.00",17090009,Molalla-Pudding,Willamette,0 to 4,0,4,4,Dissolved Oxygen,6,October 15 - June 15,45,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"20,993.86",Molalla-Pudding French Prairie North Santiam
"29,383.00","24,541.00",Mission Creek,Mission Creek, , ,"1,228,824,452,480.00","1,228,824,452,480.00",0, ,"31,573.00",17090007,Middle Willamette,Willamette,0 to 10.6,0,10.6,10.6,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,8, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cool water: Not less than 6.5 mg/l,"54,799.13",Molalla-Pudding French Prairie North Santiam
"30,232.00","25,213.00",Butte Creek,Butte Creek, , ,"1,227,735,451,610.00","1,227,735,451,610.00",0, ,"9,370.00",17090009,Molalla-Pudding,Willamette,0 to 35.6,0,35.6,35.6,Iron,"2,255.00",Year Round,3,"2,012.00",6/25/2013 0:00,Added to database,7,24,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17, , , , ,Table 20 Toxic Substances,"183,262.10",Molalla-Pudding French Prairie North Santiam
"28,750.00","24,845.00",Drift Creek,Drift Creek, , ,"1,228,342,449,830.00","1,228,342,449,830.00",0, ,"1,646.00",17090009,Molalla-Pudding,Willamette,0 to 9.5,0,9.5,9.5,E. Coli,2,Summer,1,"2,012.00",4/1/2013 0:00,"New Cat 4A: Water quality limited, TMDL approved",14,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"49,383.78",Molalla-Pudding French Prairie North Santiam
"26,336.00","17,039.00",Clark Creek,Clark Creek, , ,"1,230,332,449,270.00","1,230,332,449,270.00",0, ,"1,779.00",17090007,Middle Willamette,Willamette,0 to 1.9,0,1.9,1.9,E. Coli,2,Summer,1,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"9,932.75",Molalla-Pudding French Prairie North Santiam
"26,282.00","20,830.00",Santiam River,Santiam River, , ,"1,231,425,447,500.00","1,231,425,447,500.00",0, ,"1,843.00",17090005,North Santiam,Willamette,0 to 12,0,12,12,Temperature,12,October 15 - May 15,46,"2,010.00",10/29/2010 0:00,No action,21,31,Salmon and steelhead spawning,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum,"63,578.64",Molalla-Pudding French Prairie North Santiam
"28,779.00","24,869.00",Boschler Creek,Boschler Creek, , ,"1,227,943,450,940.00","1,227,943,450,940.00",0, ,"31,562.00",17090009,Molalla-Pudding,Willamette,0 to 4.6,0,4.6,4.6,E. Coli,2,FallWinterSpring,2,"2,012.00",4/1/2013 0:00,"New Cat 4A: Water quality limited, TMDL approved",14,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"24,224.75",Molalla-Pudding French Prairie North Santiam
"26,055.00","12,996.00",Drift Creek,Drift Creek, , ,"1,228,342,449,830.00","1,228,342,449,830.00",0, ,"1,646.00",17090009,Molalla-Pudding,Willamette,0 to 9.5,0,9.5,9.5,Temperature,12,Year Round (Non-spawning),71,"2,010.00",10/29/2010 0:00,No action,21,34,Salmon and trout rearing and migration,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,"49,383.78",Molalla-Pudding French Prairie North Santiam
"28,749.00","24,844.00",Drift Creek,Drift Creek, , ,"1,228,342,449,830.00","1,228,342,449,830.00",0, ,"1,646.00",17090009,Molalla-Pudding,Willamette,0 to 9.5,0,9.5,9.5,E. Coli,2,FallWinterSpring,2,"2,012.00",4/1/2013 0:00,"New Cat 4A: Water quality limited, TMDL approved",14,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"49,383.78",Molalla-Pudding French Prairie North Santiam
"26,235.00","13,402.00",Table Rock Fork Molalla River,Table Rock Fork Molalla River, , ,"1,224,152,449,580.00","1,224,152,449,580.00",0, ,"9,031.00",17090009,Molalla-Pudding,Willamette,0 to 8.3,0,8.3,8.3,Temperature,12,August 15 - June 15,39,"2,010.00",10/29/2010 0:00,No action,21,31,Salmon and steelhead spawning,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum,"43,635.03",Molalla-Pudding French Prairie North Santiam
"6,625.00","6,768.00",Willamette River,Willamette River, , ,"1,227,618,456,580.00","1,227,618,456,580.00",0, ,"1,587.00",17090007,Middle Willamette,Willamette,54.8 to 108,54.8,108,53.2,"Dioxin (2,3,7,8-TCDD)","2,235.00",Year Round,3,"1,998.00",12/1/1998 0:00,No action,21,24,Resident fish and aquatic life; Drinking water; Anadromous fish passage,"Cat 4A: Water quality limited, TMDL approved",14,Previous Status: TMDL approved,Previous Action: Added to database,Previous Assessment Year: 1998, ,Table 20 Toxic Substances,"281,326.73",Molalla-Pudding French Prairie North Santiam
"26,415.00","21,934.00",Claggett Creek,Claggett Creek, , ,"1,230,310,450,290.00","1,230,310,450,290.00",0, ,"2,852.00",17090007,Middle Willamette,Willamette,0 to 5.2,0,5.2,5.2,E. Coli,2,FallWinterSpring,2,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"27,446.47",Molalla-Pudding French Prairie North Santiam
"28,216.00","8,604.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,Endosulfan,"2,239.00",Year Round,3,"2,010.00",1/29/2013 0:00,No action,21,24,Aquatic life; Human health,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Table 20 Toxic Substances,"40,078.46",Molalla-Pudding French Prairie North Santiam
"25,981.00","12,893.00",Table Rock Fork Molalla River,Table Rock Fork Molalla River, , ,"1,224,152,449,580.00","1,224,152,449,580.00",0, ,"1,404.00",17090009,Molalla-Pudding,Willamette,0 to 12,0,12,12,Temperature,12,Year Round (Non-spawning),71,"2,010.00",10/29/2010 0:00,No action,21,33,Core cold water habitat,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum,"63,051.08",Molalla-Pudding French Prairie North Santiam
"29,959.00","25,236.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,Chromium,"12,712.00",Year Round,3,"2,012.00",6/25/2013 0:00,Added to database,7,24,Aquatic life,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Table 20 Toxic Substances,"40,078.46",Molalla-Pudding French Prairie North Santiam
"28,780.00","24,870.00",Little Pudding River,Little Pudding River, , ,"1,228,537,450,740.00","1,228,537,450,740.00",0, ,"1,662.00",17090009,Molalla-Pudding,Willamette,0 to 19.1,0,19.1,19.1,E. Coli,2,Summer,1,"2,012.00",4/1/2013 0:00,"New Cat 4A: Water quality limited, TMDL approved",14,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"97,085.66",Molalla-Pudding French Prairie North Santiam
"28,763.00","23,110.00",Little Pudding River,Little Pudding River, , ,"1,228,537,450,740.00","1,228,537,450,740.00",0, ,"1,662.00",17090009,Molalla-Pudding,Willamette,0 to 19.1,0,19.1,19.1,"DDT 4,4","2,189.00",Year Round,3,"2,012.00",7/24/2013 0:00,No status change,13,46,Human health; Aquatic life,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: New Cat 4A: Water quality limited, TMDL approved",Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Table 40 Human Health Criteria for Toxic Pollutants,"97,085.66",Molalla-Pudding French Prairie North Santiam
"26,416.00","21,935.00",Claggett Creek,Claggett Creek, , ,"1,230,310,450,290.00","1,230,310,450,290.00",0, ,"2,852.00",17090007,Middle Willamette,Willamette,0 to 5.2,0,5.2,5.2,E. Coli,2,Summer,1,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"27,446.47",Molalla-Pudding French Prairie North Santiam
"28,781.00","24,871.00",Little Pudding River,Little Pudding River, , ,"1,228,537,450,740.00","1,228,537,450,740.00",0, ,"1,662.00",17090009,Molalla-Pudding,Willamette,0 to 19.1,0,19.1,19.1,E. Coli,2,FallWinterSpring,2,"2,012.00",4/1/2013 0:00,"New Cat 4A: Water quality limited, TMDL approved",14,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"97,085.66",Molalla-Pudding French Prairie North Santiam
"28,756.00","24,851.00",South Fork Pudding River,South Fork Pudding River, , ,"1,228,100,449,100.00","1,228,100,449,100.00",0, ,"31,563.00",17090009,Molalla-Pudding,Willamette,0 to 6,0,6,6,E. Coli,2,Summer,2,"2,012.00",4/1/2013 0:00,"New Cat 4A: Water quality limited, TMDL approved",14,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"31,655.41",Molalla-Pudding French Prairie North Santiam
"26,034.00","12,968.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"9,234.00",17090009,Molalla-Pudding,Willamette,0 to 61.8,0,61.8,61.8,Temperature,12,Year Round (Non-spawning),71,"2,010.00",10/29/2010 0:00,No action,21,34,Salmon and trout rearing and migration,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,"315,654.18",Molalla-Pudding French Prairie North Santiam
"29,752.00","25,265.00",Little Pudding River,Little Pudding River, , ,"1,228,537,450,740.00","1,228,537,450,740.00",0, ,"1,662.00",17090009,Molalla-Pudding,Willamette,0 to 19.1,0,19.1,19.1,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,Added to database,7,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17, , , , ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"97,085.66",Molalla-Pudding French Prairie North Santiam
