"AgArea","topic","conclusion"
"Umpqua River","DO","Data collected at 14 stations were sufficient to assess status, and data from eight stations were sufficient to assess trends in dissolved oxygen concentration. Concentrations observed at 13 of the 14 status stations exceeded the applicable water quality criterion within the last two years. Trends in concentration were mixed, with three stations improving (10437, 11491, 11522), four stations degrading (10996, 10997, USGS-14309000, USGS-14317450), and one station steady (11484)."
"Umpqua River","Ecoli","There were 10 monitoring stations within the Umpqua River AgWQ Management Area with data adequate to assess status and/or trends in E. coli concentration. One monitoring station (Station ID: 11484, South Umpqua at Days Creek Cutoff Rd. in Canyonville) had at least one exceedance of the water quality criterion within the last two years, and had a significant degrading trend. Three stations exceeded the criterion within the last two years, but had no significant trend. Six stations were found to meet the E. coli standard within the last two years. Of these six, one station was improving, three were degrading, and two exhibited no significant trend."
"Umpqua River","Entero","Data were not available in sufficient quantity to assess status and trends in Enterococcus concentration."
"Umpqua River","pH","Data collected at 12 stations were sufficient to evaluate pH status and trends within the Umpqua River Agricultural Water Quality Management Area. Only four monitoring stations (10442, 10443, 11522 and USGS-14317450) had exceedances of the water quality criterion within the last two years. One of these four stations exhibited an improving trend, and the remaining three exhibited no significant trend. Eight stations met water quality criterion within the last two years. Two of these eight showed a significant improving trend, one station was steady across observations, and trends were not statistically significant at the remaining five stations."
"Umpqua River","Temp","All seven monitoring stations within the Umpqua River AgWQ Management Area with enough data to calculate status (as measured by 7DADM values) exceeded the applicable water quality criterion. Sufficient data to calculate trends were available at seven stations. Trends were degrading at three of these stations and not statistically significant at the remaining four stations."
"Umpqua River","TP","Data collected at 10 stations were sufficient to evaluate trends in total phosphorous concentration. One station (10442, South Umpqua at Melrose Road) had a statistically significant improving trend. Six stations had a steady (flat) trend. The remaining three stations did not have a statistically significant trend."
"Umpqua River","TSS","Data collected at 10 stations were sufficient to evaluate trends in total suspended solids. Two stations (10451 and 10996) had a statistically significant degrading trend. Four stations had a steady (flat) trend. The remaining four stations did not have a statistically significant trend."
"Umpqua River","Add_conc","Grab samples may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis (e.g., temperature, DO, pH). For this reason continuous data are preferred and should be considered when monitoring these parameters in the future."
"Umpqua River","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected throughout the Umpqua River AgWQ Management Area. Interpretation of results will require knowledge of local conditions known to affect the observed water quality conditions at individual sites."
"Curry County","DO","There are seven monitoring stations within the Curry County AgWQ Management Area that have sufficient data to assess status and/or trends of dissolved oxygen data with regards to the applicable water quality criterion. Dissolved oxygen concentrations observed at six stations (10533, 10537, 11483, 11493, 11905, 12590) exceeded the water quality criterion within the last two years. Observed trends were mixed, with two stations improving (11905, 10533) and 5 stations with no statistically significant trend."
"Curry County","Ecoli","There are seven monitoring stations within the Curry County AgWQ Management that had sufficient data to assess status and/or trends in E. coli concentrations. These seven monitoring stations (10414, 10533, 10537, 11483, 11493, 11905, 12590), do not have exceedances of the water quality criterion within the last two years, but six of the stations exhibit a significant degrading trend, except for station 12590, which exhibits an improving trend. "
"Curry County","Entero","Enterococcus data collected at one station (31555) was sufficient to assess status and trend. Enterococcus concentrations observed meets the water quality standard within the last two years. There is a statistically significant steady trend."
"Curry County","pH","There were seven monitoring stations within the Curry County AgWQ Management Area that had sufficient data to assess status and/or trends of pH. All seven of these monitoring stations (10414, 10533, 10537, 11483, 11493, 11905, 12590) do not have exceedances of the water quality criterion within the last two years. Two of the stations (10533, 11905) exhibit a steady trend, one station (10537) an improving trend, and the remaining stations exhibit no significant trend. "
"Curry County","Temp","There was one monitoring station within the Curry County AgWQ Management Area that had sufficient data to calculate status (7DADM) and evaluate against the applicable water quality criterion. This station (USGS-14372300), had an exceedance of the water quality criterion within the last two years, but does exhibit a significant trend. "
"Curry County","TP","Data collected at ten stations were sufficient to evaluate trends in total phosphorus concentration within the Curry County AgWQ Management Area. Two stations (10414, 11905), had a significantly steady trend, one station (28303), had a significantly degrading trend, and the remaining seven stations (10533, 10537, 11483, 11493, 12590, 23753, 30670), did not have a significant trend. "
"Curry County","TSS","There were seven monitoring stations within the Curry County AgWQ Management Area that had sufficient data to evaluate trends in total suspended solids. The two stations (10537, 11483) had a statistically significant steady trend, one station (10414) had a statistically significant degrading trend, and the remaining four stations (10533, 11493, 11905, 12590), did not have a significant trend. "
"Curry County","Add_conc","One monitoring station has sufficient data to calculate the 7DADM for temperature to assess against the applicable water quality standards. Collection of additional continuous temperature data would be useful to determine status and trends."
"Curry County","Add_conc","DEQ recommends continued sampling for E. coli, dissolved oxygen, total phosphorus and total suspended solids at all stations that are currently in the sampling cycle to support status assessment and development of a data record sufficient for trend assessment."
"Curry County","Add_conc","DEQ recommends continued sampling for Enterococcus only at stations designated for coastal contact recreation or shellfish harvesting to support status assessment and development of a data record sufficient for trend assessment."
"Lower Deschutes","DO","Data collected at three stations (Deschutes River Park [10411], Deschutes River at Hwy. 26 [10506], and Fifteenmile Creek [28333]) were sufficient to assess both status and trends in dissolved oxygen concentration. Concentrations observed at these stations exceeded the water quality standard within the last two years. Trends in concentration were not statistically significant. Data collected at one additional station (WARMSPRINGS09-Sherars Falls) was sufficient to calculate an improving trend, but was insufficient to calculate a status."
"Lower Deschutes","Ecoli","There were three monitoring stations within the Lower Deschutes AgWQ Management with data adequate to assess status and trends in E. coli concentration. One monitoring station (Fifteenmile Creek [28333]) had at least one exceedance of the water quality standard within the last two years, but exhibited no significant trend. Two stations (Deschutes River Park [10411] and Deschutes River at Hwy. 26 [10506]) were found to meet the E. coli standard within the last two years, and both exhibited no significant trend."
"Lower Deschutes","Entero","Data were not available in sufficient quantity to assess status and trends in Enterococcus concentration."
"Lower Deschutes","pH","Data collected at four stations were sufficient to evaluate pH status and/or trends within the Lower Deschutes Agricultural Water Quality Management Area. Data collected at three monitoring stations (Deschutes River Park [10411], Deschutes River at Hwy. 26 [10506], and Fifteenmile Creek [28333]) exceeded the water quality standard within the last two years. Of the three exceeding stations, two (Deschutes River Park [10411] and Deschutes River at Hwy. 26 [10506]) exhibited no significant trends, and one (Fifteenmile Creek [28333]) exhibited an improving trend. Status at one last station (WARMSPRINGS09-Sherars Falls) was undetermined, with no statistically significant trend."
"Lower Deschutes","Temp","Data collected at one station (Deschutes River at Moody [USGS-14103000]) was sufficient to evaluate temperature status and/or trends (as measured by 7DADM values) within the Lower Deschutes Agricultural Water Quality Management Area. Measurements exceeded the applicable water quality criterion and the trend was undetermined."
"Lower Deschutes","TP","Data collected at three stations were sufficient to evaluate trends in total phosphorous concentration. Two of the three stations (Deschutes River Park [10411] and Deschutes River at Hwy. 26 [10506]) had a statistically significant steady (flat) trend. The remaining one station (Fifteenmile Creek [28333]) exhibited no significant trend."
"Lower Deschutes","TSS","Data collected at three stations were sufficient to evaluate trends in total suspended solid concentration. One of the three stations (Deschutes River Park [10411]) had a statistically significant degrading trend. The remaining two stations (Deschutes River at Hwy. 26 [10506] and Fifteenmile Creek [28333]) did not have a statistically significant trend."
"Lower Deschutes","Add_conc","Grab samples may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis (e.g., DO and pH). For this reason continuous data are preferred and should be considered when monitoring these parameters in the future."
"Lower Deschutes","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected throughout the Lower Deschutes AgWQ Management Area. Interpretation of results will require knowledge of local conditions known to affect the observed water quality conditions at individual sites."
"Lower Willamette","DO","There are seven stations that have sufficient data to assess status and/or trends for Dissolved oxygen. Stations 11201, 10332, 10611, and 10801 showed no exceedances in the last two years while stations 11321 and USGS-14211720 had at least one. Stations10332, 10611, 10801, and 33613 showed a significant improving trend in DO while USGS-14211720 had a degrading trend. No significant DO trend was determined in the available data for stations 11321 and 11201."
"Lower Willamette","Ecoli","There was sufficient E. Coli data available to assess status and/or trends for five stations in the Lower Willamette Ag Water Quality Management Area. Stations 11201, 10332, 10611, and 10801 had no exceedances within the data available. Station 11321 had at least one exceedance. An improving trend in E. Coli data was found at stations 10332, 10611, 10801, and 11321 where no significant trend could be determined at station 11201."
"Lower Willamette","Entero","There were no stations with sufficient data to assess status or trends for Enterococcus."
"Lower Willamette","pH","Eight stations had enough data available to assess status and/or trends for pH. Stations 10332, 10611, and 11321 had no exceedances within the last two years while 11201, 10801, and USGS-14211720 had at least one exceedance. Stations 10332, 10611, 10801, 33613, and 28712 all showed a decreasing pH trend. The only station with an increasing trend was USGS-14211720 and stations 11321 and 11201 showed no significant trend for pH."
"Lower Willamette","Temp","Status and/or trend was able to be determined at seven stations within the Lower Willamette Ag Water Quality Management Area. Stations USGS-14211720, USGS-14211400, USGS-14211499, USGS-14211500, and USGS-14211550 all exceeded the water quality standard for temperature in the last two years. USGS-14211546 was the only station that showed a significant improving trend. USGS-14211400, USGS-14211499, and USGS-14211500 all had degrading trends. No other significant temperature trends were able to be determined."
"Lower Willamette","TP","Trends in total phosphorus were determined at six stations within the Lower Willamette Ag Water Quality Management Area. Significant improving trends were determined at stations 11321, 11201, 10332, 10611, and USGS-14211720 while station 10801s trend was steady."
"Lower Willamette","TSS","Only station 11201 showed a significant degrading trend for total suspended solids. No other significant trends were able to be determined."
"Hood River","DO","Data collected at two stations (12012, 33603) were sufficient to assess both status and trends in dissolved oxygen concentration. Concentrations observed at these stations exceeded the water quality standard within the last two years, and trends in concentration were not statistically significant. Data collected at one additional station (13141) were sufficient to calculate an improving trend, but those data were insufficient to calculate a status."
"Hood River","Ecoli","There were two monitoring stations within the Hood River AgWQ Management with data adequate to assess status and trends in E. coli concentration. One monitoring station (33603) had at least one exceedance of the water quality standard within the last two years, but exhibited a degrading trend. The other station (12012) was found to meet the E. coli standard within the last two years, but exhibited no significant trend."
"Hood River","Entero","Data were not available in sufficient quantity to assess status and trends in Enterococcus concentration."
"Hood River","pH","Data collected at two stations were sufficient to evaluate both pH status and trends. Data collected at one of those monitoring stations (12012) met the water quality standard within the last two years and exhibited a degrading trend. Data collected at the other station (33603) met the water quality standard within the last two years and exhibited no significant trend. Data collected at three other stations (11972, 13141, and 30174) were sufficient for trend assessment but not status. All three stations had a statistically significant degrading trend."
"Hood River","Temp","Data were not available in sufficient quantity to assess status and trends in temperature."
"Hood River","TP","Data collected at two stations were sufficient to evaluate trends in total phosphorous concentration. One of the two stations (12012) had a statistically significant improving trend. The remaining one station (33603) exhibited no significant trend."
"Hood River","TSS","Data collected at three stations were sufficient to evaluate trends in total suspended solid concentration. One of the three stations (33603) had a statistically significant degrading trend. The remaining two stations (12012 and 13141) did not have a statistically significant trend."
"Hood River","Add_conc","Grab samples may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis (e.g., DO and pH). For this reason continuous data are preferred and should be considered when monitoring these parameters in the future."
"Hood River","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected throughout the Hood River AgWQ Management Area. Interpretation of results will require knowledge of local conditions known to affect the observed water quality conditions at individual sites."
"Owyhee","DO","Stream/river data collected at four stations were sufficient to assess both status and trends in dissolved oxygen concentration. Concentrations observed at two of these stations (10729, 11050) exceeded the water quality standard within the last two years, while the remaining two (10730, 36783) met the water quality standard within the last two years. One station (11050) showed a degrading trend while the remaining three stations exhibited no significant trend. Drain data collected at two stations were sufficient to assess both status and trends in dissolved oxygen concentration. Both stations (15540, 15541) met the water quality standard within the last two years. Station 15541 showed a degrading trend while the other station exhibited no significant trend."
"Owyhee","Ecoli","Stream/river data collected at four stations were sufficient to assess status in E. coli concentration. Two stations (10729, 36783) exceeded the water quality standard, while the remaining two (10730, 11050) met the water quality standard within the last two years. Two stations (10729, 1119USBR_WQX-MAL218) showed an improving trend, while the remaining four stations (10730, 11050, 1119USBR_WQX-OWY110 , 36783) exhibited no significant trend. Drain data collected at five stations were sufficient to assess status in E. coli concentration. All five stations (1119USBR_WQX-OWY301,  1119USBR_WQX-OWY304, 1119USBR_WQX-OWY307, 1119USBR_WQX-OWY310, 1119USBR_WQX-OWY313) exceeded the water quality standard within the last two years. Two stations (1119USBR_WQX-MAL214, 1119USBR_WQX-MAL216) showed an improving trend, while the remaining stations did not have sufficient data to calculate a trend."
"Owyhee","Entero","A status or trend assessment was not made for _Enterococcus_ because the coastal water contact recreation use criteria does not apply in the Owyhee."
"Owyhee","pH","Stream/river data collected at four stations (10729, 10730, 11050, 36783) were sufficient to evaluate both pH status and trends. All four stations met the water quality standard within the last two years. Station 10729 showed a steady trend while the remaining stations exhibited no significant trend. Drain data collected at two stations (15540, 15541) were sufficient to evaluate both pH status and trends. Both stations met the water quality standard within the last two years. Station 15541 showed a degrading trend while the other station exhibited no significant trend."
"Owyhee","Temp","Data were not available in sufficient quantity to assess status and trends in temperature."
"Owyhee","TP","Stream/ river data collected at four stations were sufficient to assess status. All four stations (10729, 10730, 11050, 36783) had total concentrations that exceeded the 0.07 mg/L Snake River - Hells-Canyon Sediment TMDL targets. Three stations (10729, 1119USBR_WQX-MAL218, 1119USBR_WQX-OWY110) showed an improving trend while the remaining station did not have statistically significant trend. Drain data collected at five stations were sufficient to assess status. All five stations (1119USBR_WQX-OWY301, 1119USBR_WQX-OWY304, 1119USBR_WQX-OWY307, 1119USBR_WQX-OWY310, 1119USBR_WQX-OWY313) had total concentrations that exceeded the 0.07 mg/L Snake River - Hells-Canyon Sediment TMDL targets from May to September. One station (1119USBR_WQX-MAL214) showed a degrading trend, while the remaining either did not have statistically significant trend or did not have sufficient data to calculate a trend."
"Owyhee","TSS","Stream/river data collected at four stations were sufficient to assess status. One station (10729) had monthly mean total suspended sediment concentrations that exceeded the 50 mg/L Snake River - Hells-Canyon Sediment TMDL targets from May to September, while three stations (10730, 11050, 36783) did not exceed the target in the last two whole years. Two stations (10729, 1119USBR_WQX-OWY110) had an improving trend. The remaining two stations (10730, 1119USBR_WQX-MAL218)  did not have statistically significant trends. Drain data collected at five stations were sufficient to assess status. All five stations (1119USBR_WQX-OWY301, 1119USBR_WQX-OWY304, 1119USBR_WQX-OWY307, 1119USBR_WQX-OWY310, 1119USBR_WQX-OWY313) had monthly mean total suspended sediment concentrations that exceeded the 50 mg/L Snake River - Hells-Canyon Sediment TMDL targets. The station on Penny Drain (1119USBR_WQX-MAL216) had a degrading trend. The one remaining station (1119USBR_WQX-MAL214) did not have statistically significant trend."
"Owyhee","Add_conc","The dissolved oxygen and pH analyses are based on grab samples and may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis. For this reason continuous data are preferred and should be considered when monitoring these parameters in the future."
"Owyhee","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected throughout the Owyhee Agricultural Water Quality Management Area. Interpretation of results will require knowledge of local conditions known to affect the observed water quality conditions at individual sites."
"Umatilla Basin","Ecoli","Data collected at four monitoring stations were sufficient to assess status and/or trends of E. coli concentration. E. coli concentrations observed at three stations (10404, 10406, 11489) attained the freshwater contact recreation criterion within the last two whole years. Station 12005 did not attain the freshwater contact recreation criterion within the last two whole years. Three stations (10404, 10406, 12005) have degrading trends, and station 114896 did not have a statistically significant trend."
"Umatilla Basin","Entero","The Enterococcus coastal water contact recreation criteria does not apply in the Umatilla so an assessment was not made."
"Umatilla Basin","pH","Data collected at four monitoring stations were sufficient to assess status and/or trends of pH. pH observed at three stations (10404, 10406, 12005) had excursions of the pH criterion within the last two whole years. Station 11489 attained the pH criterion within the last two whole years. Three stations (10404, 11489, 12005) have improving trends, and station 10406 did not have a statistically significant trend."
"Umatilla Basin","Temp","Continuous temperature data were not available in sufficient quantity to assess status and trends."
"Umatilla Basin","TP","Data collected at four stations were sufficient to evaluate trends in total phosphorous concentration. One of the three stations (10406) had a statistically significant steady trend. The remaining three stations (10404, 11489, 12005) did not have a significant trend."
"Umatilla Basin","TSS","Data collected at four stations were sufficient to assess status and trends in total suspended solid concentration. Two of the four stations (11489, 12005) exceeded the instream TSS targets established in the Umatilla Subbasin Sediment TMDL and had degrading trends. Station 10404 also exceeded the TSS target but had an improving trend. Station 10406 met the TMDL target within that last two whole years and has exhibited a steady trend."
"Umatilla Basin","Add_conc","There was insufficient data to calculate the seven day average daily maximum stream temperature to assess against the applicable temperature criteria. DEQ recommends collection of continuous temperature data as described in the Umatilla Subbasin TMDL long term monitoring plan."
"Umatilla Basin","Add_conc","DEQ recommends continued sampling for E. coli, dissolved oxygen, pH, and total suspended solids at existing stations and adding new stations consistent with the Umatilla Subbasin TMDL long term monitoring plan."
"Coos-Coquille","DO","Data collected at six stations were sufficient to assess status, and data from 11 stations were sufficient to assess trends in dissolved oxygen concentration. Concentrations observed at all six of the ?status? stations exceeded the water quality standard within the last two years. Trends in concentration were mixed, with five stations improving (10393, 10596, 11486, 13570, and 13574), and six stations with no significant trend (11485, 14018, 34827, 34828, 34829, and 34830)."
"Coos-Coquille","Ecoli","There were 10 monitoring stations within the Coos-Coquille AgWQ Management with data adequate to assess status and/or trends in E. coli concentration. Two monitoring stations (10393 and 11486) had at least one exceedance of the water quality standard within the last two years, but exhibited no significant trend. Seven stations were found to meet the E. coli standard within the last two years. Of these seven, one station was improving (13570) and two exhibited no significant trend (10596 and 13574). Four stations (33922, CTCLUSI_WQX-CTCEDWQ, CTCLUSI_WQX-CTCNSWQ, and CTCLUSI_WQX-CTCTDWQ) that met the standard did not have enough data to determine a trend. The remaining station (11485) had an undetermined status and exhibited no significant trend."
"Coos-Coquille","Entero","Data were not available in sufficient quantity to assess status and trends in Enterococcus concentration."
"Coos-Coquille","pH","Data collected at 10 stations were sufficient to evaluate pH status and/or trends within the Coos-Coquille Agricultural Water Quality Management Area. Data collected at three monitoring stations (10393, 13570, and 13574) met the water quality standard within the last two years but exhibited no significant trend. Data collected at one station (10596) met the standard and had a steady trend. One station (11486) met the standard but had a degrading trend. One station (33922) met the standard with an undetermined trend. Three stations (11485, 14018, and 34830) had an undetermined status, but showed a degrading trend; one last station (34829) had an undetermined status and no statistically significant trend."
"Coos-Coquille","Temp","Data were not available in sufficient quantity to assess status and trends in temperature."
"Coos-Coquille","TP","Data collected at nine stations were sufficient to evaluate trends in total phosphorous concentration. Three stations (10393, 10596, and 13574) had a statistically significant steady (flat) trend. The remaining six stations (11485, 11486, 13570, 14018, 34829, and 34830) exhibited no significant trend."
"Coos-Coquille","TSS","Data collected at six stations were sufficient to evaluate trends in total suspended solids. Three stations (10393, 11485, and 11486) had a statistically significant degrading trend. The remaining three stations (10596, 13570, and 13574) did not have a statistically significant trend."
"Coos-Coquille","Add_conc","Grab samples may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis (e.g., DO and pH). For this reason continuous data are preferred and should be considered when monitoring these parameters in the future."
"Coos-Coquille","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected throughout the Coos-Coquille AgWQ Management Area. Interpretation of results will require knowledge of local conditions known to affect the observed water quality conditions at individual sites."
"Coos-Coquille","Add_conc","Knowledge of local conditions is especially important in the interpretation of trends. Some real, meaningful trends may be obscured by a lack of statistical significance. Conversely, some other statistically significant trends are can be the result of having a high number of observations at these stations, rather than any meaningful change in water quality at these stations."
"Upper Mainstem and South Fork John Day River","DO","Concentrations at both stations exceeded the water quality standard within the last two years. An improving trend was observed at the John Day station, and no statistically significant trend was observed at the South Fork station."
"Upper Mainstem and South Fork John Day River","Ecoli","Concentrations at both stations exceeded the water quality standard within the last two years. A degrading trend was observed at the John Day station, and no statistically significant trend was observed at the South Fork station."
"Upper Mainstem and South Fork John Day River","Entero","Not applicable to this watershed."
"Upper Mainstem and South Fork John Day River","pH","Concentrations at both stations met the water quality standard within the last two years. No statistically significant trend was observed at the John Day station, and a steady (flat) trend was observed at the South Fork station."
"Upper Mainstem and South Fork John Day River","Temp","Data were not available in sufficient quantity to evaluate status or trends in temperature."
"Upper Mainstem and South Fork John Day River","TP","Data were not available in sufficient quantity to evaluate trends in total phosphorous concentration. Status was not evaluated because no standard for total phosphorous exists in these watersheds."
"Upper Mainstem and South Fork John Day River","TSS","Degrading trends (i.e., increasing TSS concentration) in were observed at both stations. Status was not evaluated because no standard for TSS exists in these watersheds."
"Upper Mainstem and South Fork John Day River","Add_conc","Grab samples may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis (e.g., DO and pH). For this reason continuous data are preferred and should be considered when monitoring these parameters in the future."
"Upper Mainstem and South Fork John Day River","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected throughout the Upper Mainstem and South Fork John Day River AgWQ Management Area. Interpretation of results will require knowledge of local conditions known to affect the observed water quality conditions at individual sites."
"Clackamas","DO","Data collected at seven stations were sufficient to assess status. Two of the seven stations (10339, 14008) had dissolved oxygen concentrations that met the criteria in the last two years. The remaining five stations (11233, 13070, USGS-14209710, USGS-14210000, USGS-14211010) had dissolved oxygen concentrations that exceeded the criteria in the last two years. Data collected at seven stations were sufficient to assess trends. Three of the seven stations (10339, 11233, 14008) had an improving trend. Three of the seven stations (USGS-14209710, USGS-14210000, USGS-14211010) had a degrading trend. The remaining station (13070) did not have a statistically significant trend."
"Clackamas","Ecoli","Data collected at four stations were sufficient to assess status. Three of the four stations (11233, 13070, 14008) had _E. coli_ concentrations that met the criteria in the last two years. The remaining one stations (10339) had _E. coli_ concentrations that exceeded the criteria in the last two years. Data collected at four stations were sufficient to assess trends. One of the four stations (14008) had a steady trend. One of the four stations (10339) had a degrading trend. The remaining two stations (11233, 13070) did not have statistically significant trends."
"Clackamas","Entero","Data were not available in sufficient quantity to assess status. Data were not available in the last two years to assess trend."
"Clackamas","pH","Data collected at seven stations were sufficient to assess status. Four of the seven stations (10339, 11233, 13070, USGS-14210000) had pH that met the criteria in the last two years. The remaining three stations (14008, USGS-14209710, USGS-14211010) had pH that exceeded the criteria in the last two years. Data collected at seven stations were sufficient to assess trends. One of the seven stations (USGS-14209710) had an improving trend. One of the seven stations (USGS-14210000) had a steady trend. Two of the seven stations (10339, 13070) had a degrading trend. The remaining three stations (11233, 14008, USGS-14211010) did not have statistically significant trends."
"Clackamas","Temp","Data collected at three stations were sufficient to assess status. All three stations (USGS-14209710, USGS-14210000, USGS-14211010) exceeded the temperature criteria in the last two years. Data collected at three stations were sufficient to assess trends. All three stations had a degrading trend."
"Clackamas","TP","Data were not available in sufficient quantity to assess status. Data collected at four stations were sufficient to assess trends. One of the four stations (10339) had an improving trend. Two of the four stations (11233, 13070) had a steady trend. The remaining station (14008) did not have a statistically significant trend."
"Clackamas","TSS","Data were not available in sufficient quantity to assess status. Data collected at four stations were sufficient to assess trends. Two of the four stations (13070, 14008) had a steady trend. The remaining two stations (10339, 11233) did not have statistically significant trends."
"Clackamas","Add_conc","Grab samples may not provide a complete characterization of water quality for parameters that fluctuate on a daily basis                              (e.g., DO and pH). For this reason continuous data are preferred and should be considered when monitoring these parameters                             in the future."
"Clackamas","Add_conc","This report is best used as a summary and statistical analysis of the status and trends in water quality data collected                               throughout the Clackamas Agricultural Water Quality Management Area. Interpretation of results will require knowledge of                              local conditions known to affect the observed water quality conditions at individual sites."
