AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Tualatin River Subbasin,USGS-14206960,"TUALATIN RIVER AT BOONES FERRY RD AT TUALATIN, OR",45.3859522,-122.7573183,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10456,Tualatin River at Boones Ferry Road,45.386139,-122.756278,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14202300,"TUALATIN RIVER AT CHERRY GROVE, OR.",45.4673339,-123.2917776,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,USGS-14206740,"TUALATIN RIVER AT ELSNER RD NEAR SHERWOOD, OR",45.3881737,-122.8517655,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206500,"TUALATIN RIVER AT FARMINGTON,OREG.",45.4498392,-122.9512138,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14204800,"TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR",45.5020597,-123.0562173,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10459,Tualatin River at Hwy 210 (Scholls),45.444415,-122.919778,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206690,"TUALATIN RIVER AT HWY 210 BRIDGE, NR SCHOLLS, OR",45.4178952,-122.9209346,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206241,"TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR",45.5001164,-122.9912157,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14207200,"TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR",45.35650877,-122.6850937,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206694,"TUALATIN RIVER AT RIVER MILE 24.5, NR SCHOLLS, OR",45.40150659,-122.8951003,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10461,Tualatin River at Rood Road,45.490056,-122.950556,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14207050,"TUALATIN RIVER AT STAFFORD RD NR LAKE OSWEGO, OR",45.3795639,-122.6978721,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14207600,"TUALATIN RIVER AT WEISS BRIDGE AT WEST LINN, OR",45.3395648,-122.654537,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14203500,"TUALATIN RIVER NEAR DILLEY, OR",45.4748365,-123.124274,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10458,Tualatin River near Elsner Road,45.409389,-122.893667,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Crooked River,10517,Crooked River at Lone Pine Road (Terrebonne),44.34865,-121.0816,All other basin waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Crooked River,11477,Crooked River at Conant Basin Road,44.1724,-120.5422,All other basin waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
